,x,Sediment
0,0,3.60E-05
1,0.2,3.60E-05
2,0.4,3.60E-05
3,0.6,3.60E-05
4,0.8,3.60E-05
5,1,3.60E-05
6,1.2,3.60E-05
7,1.4,3.60E-05
8,1.6,3.60E-05
9,1.8,3.60E-05
10,2,3.60E-05
11,2.2,3.60E-05
12,2.4,3.60E-05
13,2.6,3.60E-05
14,2.8,3.60E-05
15,3,3.60E-05
16,3.2,3.60E-05
17,3.4,3.60E-05
18,3.6,3.60E-05
19,3.8,3.60E-05
20,4,3.60E-05
21,4.2,3.60E-05
22,4.4,3.60E-05
23,4.6,3.60E-05
24,4.8,3.60E-05
25,5,3.60E-05
26,5.2,3.60E-05
27,5.4,3.60E-05
28,5.6,3.60E-05
29,5.8,3.60E-05
30,6,3.60E-05
31,6.2,3.60E-05
32,6.4,3.60E-05
33,6.6,3.60E-05
34,6.8,3.60E-05
35,7,3.60E-05
36,7.2,3.60E-05
37,7.4,3.60E-05
38,7.6,3.60E-05
39,7.8,3.59E-05
40,8,3.59E-05
41,8.2,3.58E-05
42,8.4,3.56E-05
43,8.6,3.54E-05
44,8.8,3.51E-05
45,9,3.46E-05
46,9.2,3.39E-05
47,9.4,3.30E-05
48,9.6,3.17E-05
49,9.8,2.99E-05
50,10,2.78E-05
51,10.2,2.54E-05
52,10.4,2.28E-05
53,10.6,2.02E-05
54,10.8,1.78E-05
55,11,1.56E-05
56,11.2,1.38E-05
57,11.4,1.23E-05
58,11.6,1.11E-05
59,11.8,1.02E-05
60,12,9.59E-06
61,12.2,9.12E-06
62,12.4,8.83E-06
63,12.6,8.66E-06
64,12.8,8.63E-06
65,13,8.66E-06
66,13.2,8.77E-06
67,13.4,8.94E-06
68,13.6,9.15E-06
69,13.8,9.40E-06
70,14,9.68E-06
71,14.2,9.99E-06
72,14.4,1.03E-05
73,14.6,1.07E-05
74,14.8,1.10E-05
75,15,1.14E-05
76,15.2,1.18E-05
77,15.4,1.21E-05
78,15.6,1.25E-05
79,15.8,1.29E-05
