"Elevation","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.10482e+01,1,0.00000e+00,-4.75823e+05,0.00000e+00,0.00000e+00
8.63199e+00,1,9.51647e+03,-4.66307e+05,0.00000e+00,0.00000e+00
6.26336e+00,1,1.90329e+04,-4.56790e+05,0.00000e+00,0.00000e+00
3.94427e+00,1,2.85494e+04,-4.47274e+05,0.00000e+00,0.00000e+00
1.67245e+00,1,3.80658e+04,-4.37757e+05,0.00000e+00,0.00000e+00
2.04197e-01,1,4.75823e+04,-4.28241e+05,0.00000e+00,0.00000e+00
2.24396e-01,1,5.70988e+04,-4.18724e+05,0.00000e+00,0.00000e+00
1.80471e-01,1,6.66152e+04,-4.09208e+05,0.00000e+00,0.00000e+00
1.60279e-01,1,7.61317e+04,-3.99692e+05,0.00000e+00,0.00000e+00
1.46920e-01,1,8.56482e+04,-3.90175e+05,0.00000e+00,0.00000e+00
1.34194e-01,1,9.51646e+04,-3.80659e+05,0.00000e+00,0.00000e+00
1.23750e-01,1,1.04681e+05,-3.71142e+05,0.00000e+00,0.00000e+00
1.12723e-01,1,1.14198e+05,-3.61626e+05,0.00000e+00,0.00000e+00
9.63838e-02,1,1.23714e+05,-3.52109e+05,0.00000e+00,0.00000e+00
7.77544e-02,1,1.33230e+05,-3.42593e+05,0.00000e+00,0.00000e+00
6.19939e-02,1,1.42747e+05,-3.33076e+05,0.00000e+00,0.00000e+00
4.91601e-02,1,1.52263e+05,-3.23560e+05,0.00000e+00,0.00000e+00
3.74598e-02,1,1.61780e+05,-3.14043e+05,0.00000e+00,0.00000e+00
2.76188e-02,1,1.71296e+05,-3.04527e+05,0.00000e+00,0.00000e+00
2.01818e-02,1,1.80813e+05,-2.95010e+05,0.00000e+00,0.00000e+00
1.38495e-02,1,1.90329e+05,-2.85494e+05,0.00000e+00,0.00000e+00
6.55095e-03,1,1.99846e+05,-2.75977e+05,0.00000e+00,0.00000e+00
-4.10711e-03,1,2.09362e+05,-2.66461e+05,0.00000e+00,0.00000e+00
-1.76035e-02,1,2.18879e+05,-2.56945e+05,0.00000e+00,0.00000e+00
-3.05302e-02,1,2.28395e+05,-2.47428e+05,0.00000e+00,0.00000e+00
-4.04439e-02,1,2.37912e+05,-2.37912e+05,0.00000e+00,0.00000e+00
-4.84547e-02,1,2.47428e+05,-2.28395e+05,0.00000e+00,0.00000e+00
-5.72014e-02,1,2.56945e+05,-2.18879e+05,0.00000e+00,0.00000e+00
-6.73922e-02,1,2.66461e+05,-2.09362e+05,0.00000e+00,0.00000e+00
-7.79032e-02,1,2.75977e+05,-1.99846e+05,0.00000e+00,0.00000e+00
-8.73782e-02,1,2.85494e+05,-1.90329e+05,0.00000e+00,0.00000e+00
-9.55146e-02,1,2.95010e+05,-1.80813e+05,0.00000e+00,0.00000e+00
-1.02865e-01,1,3.04527e+05,-1.71296e+05,0.00000e+00,0.00000e+00
-1.10298e-01,1,3.14043e+05,-1.61780e+05,0.00000e+00,0.00000e+00
-1.18301e-01,1,3.23560e+05,-1.52263e+05,0.00000e+00,0.00000e+00
-1.26928e-01,1,3.33076e+05,-1.42747e+05,0.00000e+00,0.00000e+00
-1.35416e-01,1,3.42593e+05,-1.33230e+05,0.00000e+00,0.00000e+00
-1.43204e-01,1,3.52109e+05,-1.23714e+05,0.00000e+00,0.00000e+00
-1.50398e-01,1,3.61626e+05,-1.14198e+05,0.00000e+00,0.00000e+00
